,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12
FCH4_weekly,1.0,4.5405474868626945e-144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GPP,0.02970756402987599,0.08686650822153374,0.3564101482979043,0.2389358805525527,0.4610342675631688,0.1081166593732068,0.7792113649753599,0.3209699521486074,0.33625697455913506,0.4988908560505708,0.5984905654886491,0.555665949428971,0.7674719887064883
PA,0.3893124476215645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TS,0.13712915587515212,0.9324297007101909,0.43753432590867514,0.017887300818794735,0.2926951767972461,0.6093122227969493,0.3720514152007971,0.45708835841956597,0.30225625425932506,0.220619226224217,0.25069967848959507,0.4637144445227338,0.4537432821142945
TA,0.29882440115213404,0.7902041644084529,0.45833860632220014,0.3341461522255714,0.8248625610439627,0.3376976766553976,0.9104323735111389,0.38919816919680794,0.29715587816311245,0.5232579401635236,0.871807092734996,0.33014384731522683,0.48116121269199763
P,0.20641497655065777,0.42204484850716395,0.21985891775072952,0.22804337467182673,0.43390911283775113,0.3815324901486723,0.5393280024601497,0.24295662972271387,0.4896102749949861,0.22823663386890677,0.2681348069889422,0.9778273613248006,0.8611820281016012
WS,0.597054658605374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SWC,0.25826765649376976,0.6345516624341969,0.6205194301948687,0.34846027629528,0.2518599280293314,0.7480607397920276,0.9741448100678473,0.7043047313290919,0.6510560554609441,0.543381826970436,0.764088295615545,0.2901376777897158,0.7668138410688408
