,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12
FCH4_weekly,0.0,0.32848885297389724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPP,0.02760972100143884,0.02174806835023597,0.011176313602175778,0.014268325717114439,0.008933434318639525,0.020412244911159963,0.0035608287823886728,0.012036317333821801,0.011665280125593962,0.00820676580463606,-0.0063928531332700395,0.007157437923514931,0.0035932123353615937
PA,-0.049327038274442195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TS,0.01887393592467005,0.001077029251101595,0.009404561864590807,0.03007459167704482,0.01274883869902542,0.006195803980644465,0.010821716184204943,0.009449105704521416,0.012514644798877648,0.014864550931193085,0.013944671129576617,0.008899733540549333,0.009104161770796829
TA,0.013196862588172355,0.003222832967542541,0.009409212559060064,0.011698273955773376,0.0026813277211684937,0.011618587561782075,0.0013638286630526862,0.010941039840414281,0.013252136937067702,0.008117492722025318,-0.0019590523106705303,0.011827652632864326,0.008560344126255148
P,-0.020167729053263445,-0.009718612385982543,0.014856281524417089,0.014600386672424357,0.009933362154959012,0.010604153593628284,0.00744121123379425,0.014834662810446972,0.008381369180344982,0.014621160291908377,0.013443534473078595,-0.0003375471000677862,-0.002124905102678554
WS,-0.0077853846511314806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWC,-0.018356310697572605,-0.006029112564039648,-0.0059950591556101294,-0.011898703258279889,-0.014545006805662133,0.003892073102780908,0.0003928743376439021,-0.0046021138448685585,0.0054866640851690684,0.0073745826721474846,0.0036435900227541774,0.013461425464385246,-0.0036036854744156376
