FCH4_weekly,GPP,PA,TS,TA,P,WS,SWC
,0.77968875,95578.30469,271.5750122,263.3190613,8.578268811,2.16692996,0.21124284
,0.6283175,95055.10938,271.7523804,265.1218262,12.88497634,3.512628794,0.248004332
,0.646595,95393,271.6808167,267.6662598,0.889775751,2.905136585,0.22937645
,0.552005,95456.02344,271.9273071,272.5740356,10.22842713,3.164635897,0.230907708
,0.44977625,95770.08594,272.1045532,272.0223083,5.260379519,2.250953913,0.24541609
,0.5554175,95784.54688,272.1217957,272.2409058,0.257188367,3.187177181,0.241835132
,0.78693375,95914.8125,272.3157349,275.1703491,4.747600295,2.073827744,0.310123146
,1.38595,95775.49219,272.4370728,276.2443237,0.42012753,2.187773466,0.323122829
,1.79946625,95730.50781,272.5336609,276.7470703,1.230031135,2.279214144,0.332271039
,2.2018525,95242.73438,272.6115417,276.434906,8.892965503,2.415075541,0.329122573
,2.47899625,95506.54688,272.6820984,279.3182983,2.832266735,2.527086258,0.350430518
,2.86834,95571.32813,274.6165771,280.8543396,4.09903843,2.640608072,0.349550545
0.906459031,3.18373,94936.48438,282.5175171,284.2402039,3.517569508,2.842237234,0.283326447
-1.897457655,3.4526325,96041.13281,283.6458435,285.1665649,1.429711469,1.555051565,0.241375923
5.05786019,4.0657875,95256.14063,288.5431519,289.3479309,1.073481631,2.580771685,0.203246832
3.751411979,3.53937,95533.4375,284.7606812,284.3910522,3.456866601,2.531561375,0.199259281
4.207894026,4.06185,95068.57813,288.2546997,288.8901978,1.86261849,2.137938976,0.21586749
1.511148665,3.9916875,95799.64844,289.8009949,290.3984375,1.900957199,1.819769263,0.19786413
3.880571043,3.53157,95449.77344,289.1426697,289.0299377,5.726832896,1.546840072,0.228114083
3.599046643,3.458125,95139.61719,287.4782104,287.6463013,11.83705311,1.863223791,0.27993083
1.575182212,3.5158775,95708.82813,287.9172974,287.7518005,3.364215139,1.306903839,0.261078328
5.394333896,3.209635,95852.39063,287.6933289,287.5619507,6.279548164,1.8456043,0.259568006
7.470505992,2.7829475,95891.5,287.3668213,286.7537842,2.696483629,2.545454741,0.242395356
9.044673399,2.17029,95461.8125,282.2738342,281.1873474,11.85462438,3.156075001,0.273663074
6.166586238,2.02497875,96248.67969,280.9826355,280.6175842,1.891372609,1.885838628,0.260657519
6.033943461,1.5922075,95843.07031,282.0248718,281.920929,0.964855601,2.664398432,0.237642989
5.460816002,1.24077625,95556.41406,280.4116516,279.3605652,7.428110112,2.36845541,0.262283146
,1.18301,95771.19531,275.8390198,274.6672974,0.231629223,2.657013655,0.239645988
,1.1110425,96602.97656,279.5301208,279.3450012,0.289137213,1.629251838,0.222549334
,0.8663175,95264.6875,276.6235046,275.9919128,5.364213139,2.695286989,0.259532064
,0.8384675,96232.92969,274.3598328,273.2921448,7.415330503,1.88727653,0.274516404
,0.78973,95704.60156,273.3866882,272.3102722,8.616607636,2.162392855,0.279204428
,0.75340875,95383.5,271.5374146,266.9222107,4.675715696,2.956228495,0.276578605
,0.759605,95544.63281,271.648468,263.1372375,5.920123775,3.144789219,0.246962339
,0.75528125,94979.64844,271.9723816,267.4317932,5.290730856,2.156936884,0.232443124
,0.75473,94888.23438,272.2735901,266.5654602,3.886578837,3.771483898,0.224331066
,0.7470575,94575.98438,272.164093,262.1324768,3.594246926,2.317325592,0.219587892
,0.7252075,94935.89063,272.1715698,260.6797791,10.67571249,2.560384989,0.258733064
,0.72310625,95109.54688,272.1885681,260.1779175,0.856229512,2.963661909,0.24626936
,0.74751,95656.94531,272.1444702,258.6984863,2.91852816,2.83040452,0.231543303
,0.72660125,94397.47656,272.1771545,259.7774963,3.634182503,2.546212435,0.224481344
,0.7129575,96005.91406,271.9901428,253.7152863,1.506388537,2.427666903,0.220008656
,0.71389375,95553.8125,271.8599854,249.4985504,0.34664516,2.380148172,0.216105446
,0.71126,95819.51563,271.8117065,258.7096252,3.185301321,2.128369093,0.21420683
,0.7009,94798.32031,271.7977905,257.1488037,0.319488638,2.667160273,0.210752755
,0.7093875,94906.14063,271.6885681,254.8385162,1.894567278,2.23896575,0.208386615
,0.71389125,95081.60156,271.6052856,254.8188629,1.23642094,2.623085499,0.208258867
,0.72426,95168.44531,271.5489807,258.2868958,2.880189568,2.259141207,0.208779022
,0.73010625,95262.33594,271.645813,262.0991211,4.174118396,2.227913141,0.206544772
,0.7189375,95246.64844,271.6383972,258.6468506,1.96804991,2.983741522,0.204090938
,0.68639,95963.51563,271.5073547,259.4781799,8.250792511,2.427880526,0.201240525
,0.55962,96013.91406,271.575592,261.7015686,6.784340832,2.719619989,0.20106855
,0.65845125,96093.79688,271.6458435,267.4022217,1.301916083,2.575951338,0.199381188
,0.5335875,95793.20313,271.8406372,271.7766418,4.958462901,2.67052412,0.248606309
,0.41382875,94329.5625,271.8154907,268.7125549,4.726833664,2.683629274,0.23899892
